Tiếng Việt,Tiếng BaNa
"Chủ động xử lý những sự cố phát sinh đột xuất trước, trong mùa lũ, bão và gia cố các vị trí xung yếu nhằm hạn chế đến mức thấp nhất các sự cố khi có lũ, bão","Chu ñoâng xö lyê rim tôdrong ôêi leêch ñoât xuaât adrol, lôêm jan ami but oeêng pôm kôjaêp rim dônoê kheê kheê söê pôm tôjul truh tôdrong ‘biêa pôgloh rim tôdrong jônang ôêi ñak tih, but"
Chuẩn bị vật tư dự trữ cho công tác hộ đê,Chuaân ‘bi vaât tö anguoân aên tôdrong tôguêm böêt ñak
Đồng thời phối hợp chặt chẽ với lực lượng quân đội đóng trên địa bàn để chuẩn bị công tác hộ đê,Thoi ‘noh adriêng kôjaêp adriêng löêk löông kuaân ñoâi oei lôêm tôring söê chuaân ‘bi tôdrong tôguêm böêt ñak
"Tăng cường kiểm tra, rà soát tình hình vi phạm pháp luật về đê điều trên địa bàn",Kjung naêm ngoê hnheêi tôdrong pôm glaêi phap luaât lôêm tôdrong böêt ñak lôêm tôring
"Kiên quyết ngăn chặn, xử lý dứt điểm các hành vi vi phạm theo quy định của pháp luật","Pôgloh gôên, xö lyê tôpaê rim tôdrong pôm glaêi ‘boi tôdrong ñôêng phap luaât"
"Ban Quản lý dự án Nông nghiệp và Phát triển nông thôn, Ban Quản lý dự án giao thông, Ban Quản lý dự án các huyện, thị xã, thành phố","Khul ngoê hnheêi yöê an Noâng nghieâp oeêng pôjing cham pôlei, Khul ngoê hnheêi yöê an trong naêm, Khul ngoê hnheêi yöê an rim hueân, thi xa, thanh phoâÊ"
"Chỉ đạo các nhà thầu tập trung mọi nguồn lực để đẩy nhanh tiến độ thi công công trình liên quan đến đê điều xong trước mùa mưa bão và xây dựng phương án bảo an toàn cho các công trình đê kè, cầu, cống, ngầm tràn đang triển khai thi công","Pôgôl rim hnam thôêu pônhoâm ñiê ñaêng rim nguoân löêk söê jôraê ranh tôdrong pôm koâng trinh lieân kuan truh böêt ñak keh adrol jan ami but oeêng tôjung pôm tôdrong tômaên tôl an toan aên rim koâng trinh böêt ñak, koâng, koâÊng, ngaâm atung pônhroh pôm"
"Chỉ đạo các đơn vị tiến hành tháo dỡ các đường công vụ phục vụ thi công công trình gây cản trở dòng chảy (đập dâng, cầu giao thông, đê kè) trước 31/8/2020","Pôgôl rim ñôn viê pôm pôloêk rim trong koâng vuê tôguêm pôm koâng trinh pôm gôên trong ñak ‘yoêl (böêt ñak, koâng giao thoâng, ke) adrol ‘naêr peâng jiêt minh kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
"Ủy ban Mặt trận Tổ quốc Việt Nam tỉnh, Hội Liên hiệp Phụ nữ tỉnh, Tỉnh đoàn, Hội Nông dân tỉnh và các tổ chức liên quan","UBMTTQ Vieât nam tinh, Hoâi LHPN tinh, Tinh ñoan, Hoâi noâng daân tinh oeêng rim toâ chöêk lieân kuan"
"Phối hợp với các đơn vị, địa phương tham gia công tác chuẩn bị sẵn sàng hộ đê, chống lũ, bão","Adriêng rim ñôn viê, cham pôlei adriêng pôm tôdrong chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, but"
"Tăng cường tuyên truyền vận động đoàn viên, hội viên và quần chúng Nhân dân tích cực tham gia công tác xử lý sự cố đê điều","Kjung pôtho khan krao akoêm ñoan vieân, hoâi vieân oeêng naê ma kon tôring pôjaêng adriêng pôm tôdrong xö lyê tôdrong böêt ñak"
"Các sở, ban, ngành khác theo chức năng, nhiệm vụ quản lý nhà nước được giao chủ động phối hợp, tăng cường thực hiện các biện pháp quản lý, đảm bảo an toàn đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020","Rim sô, ‘ban, nganh nai ‘boi tôdrong ngoê hnheêi kôpal ñei pôjao chu ñoâng adriêng pôm, kjung pôm rim tôdrong ngoê hnheêi, tômaên tôl an toan böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
"Thủ trưởng các sở, ban, ngành, Chủ tịch Ủy ban nhân dân các huyện, thị xã, thành phố theo chức năng, thẩm quyền và nhiệm vụ được giao căn cứ kế hoạch này và Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn (Phụ lục kèm theo) xây dựng kế hoạch cụ thể để thực hiện","Pôgôl rim sô, ‘ban, nganh, Chu tich UBND rim hueân, thi xa, thanh phoâÊ ‘boi tôdrong ñeêi pôjao kaên köê glong pônhroh anu oeêng Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei (phuê luêk pôteêp adriêng) tôjung pôm glong pônhroh ku theâ söê pôm"
"Định kỳ, hàng năm tổng hợp báo cáo tình hình thực hiện về Sở Nông nghiệp và Phát triển nông thôn trước ngày 15/9 để tổng hợp, báo cáo Ủy ban nhân dân tỉnh","Ñinh ky, rim sônaêm toâng hôêp pôtho khan tôdrong pôm aên Sô Noâng nghieâp oeêng pôjing cham pôlei adrol ‘naêr minh jiêt pôñaêm kheêi tôxiênh söê toâng hôêp, pôtho khan UBND tinh"
"Thủ trưởng các sở, ban, ngành, Chủ tịch Ủy ban nhân dân các huyện, thị xã, thành phố và Thủ trưởng các cơ quan liên quan tổ chức quán triệt đến từng cán bộ, chiến sĩ, công chức, viên chức, người lao động và nhân dân thực hiện tốt công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão trên địa bàn tỉnh","Pôgôl rim sô, ‘ban, nganh, chu tich UBND rim hueân, thi xa, thanh phoâÊ oeêng pôgôl rim kô kuan lieân kuan pôloêk pôtho khan truh rim kang ‘boâ, chieân si, koâng chöêk, vieân chöêk, bôngai pôm bieâk oeêng kon tôring pôm hôgeêi tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, but lôêm tôring tinh"
"Trong quá trình tổ chức thực hiện kế hoạch, nếu cần thiết sửa đổi, bổ sung những nội dung cụ thể, các sở, ban, ngành, cơ quan, đơn vị, địa phương có liên quan đề xuất kịp thời về Sở Nông nghiệp và Phát triển nông thôn để tổng hợp, báo cáo Ủy ban nhân dân tỉnh xem xét, quyết định","Lôêm jônang pôloêk pôm glong pônhroh, tôêng kô waê tôplih, tôguêm rim tôdrong ku theâ, rim sô, ‘ban, nganh, kô kuan, ñôn viê, cham pôlei ôêi lieân kuan pôtho khan tôtam aên Sô Noâng nghieâp oeêng pôjing cham pôlei söê toâng hôêp, pôtho khan UBND tinh ngoê hnheêi, kueâÊt ñinh./."
Quyết định Về việc phân bổ kinh phí đợt 2 năm 2017 để thực hiện chính sách bảo vệ và phát triển đất trồng lúa theo Nghị định số 35/2015/NĐ-CP ngày 13/4/2015 của Chính phủ ,KueÊât ñinh lôêm tôdrong phaân ‘boâ jeân maêng maê ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh söê pôm tôdrong jö vei oeêng pôjing teh pôtaêm ‘ba ‘boi Nghi ñinh ksoâÊ peâng jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP ‘naêr minh jiêt peâng kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng kôpal teh ñak
Chủ tịch Ủy ban Nhân dân Tỉnh,Chu tich UBND tinh
Căn cứ Luật Tổ chức chính quyền địa phương ngày 19/6/2015;,Kaên köê Luaât toâ chöêk khul pôgôl cham pôlei ‘naêr minh jiêt tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm
"Căn cứ Nghị định số 35/2015/NĐ-CP ngày 13/4/2015 của Chính phủ về quản lý, sử dụng đất trồng lúa;","Kaên köê Nghiê ñinh ksoâÊ peâng jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP ‘naêr minh jiêt peâng kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng kôpal teh ñak lôêm ngoê hnhei, chaê yuoâ teh pôtaêm ‘ba"
Thông tư số 18/2016/TT-BTC ngày 21/01/2016 của Bộ Tài chính hướng dẫn thực hiện một số điều của Nghị định số 35/2015/NĐ-CP ngày 13/4/2015 của Chính phủ;,Thoâng tö ksoâÊ minh jiêt tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu/TT-BTC ‘naêr ‘baêl jiêt minh kheêi minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu ñôêng ‘Boâ Tai chiênh pôtho khan pôm minh ksoâÊ tôdrong ñôêng Nghiê ñinh ksoâÊ peâng jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP ‘naêr minh jiêt peâng kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng kôpal teh ñak
Căn cứ Quyết định số 4545/QĐ-UBND ngày 12/12/2016 của UBND tỉnh về việc giao dự toán ngân sách nhà nước năm 2017;,Kaên köê KueâÊt ñinh ksoâÊ puoân pôñaêm puoân pôñaêm/QÑ-UBND ‘naêr minh jiêt ‘baêl kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu ñôêng UBND tinh lôêm tôdrong pôjao yöê toan ngaân sach kôpal sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh
Xét đề nghị của Sở Tài chính tại Tờ trình số 594/TTr-STC ngày 10/10/2017,Xeêt pôtho khan ñôêng Sô Tai chiênh lôêm Tô trinh ksoâÊ pôñaêm tôxiênh puoân/TTr-STC ‘naêr minh jiêt kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh
"Điều 1. Phân bổ kinh phí đợt 2 năm 2017 để thực hiện chính sách bảo vệ và phát triển đất trồng lúa năm 2017 cho ngân sách các huyện, thị xã, thành phố với số tiền 11.373.145.000 đồng, cụ thể như sau:","Ñieâu minh. Phaân ‘boâ jeân maêng maê ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh söê pôm tôdrong jö vei oeêng pôjing teh pôtaêm ‘ba sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh aên ngaân sach rim hueân, thi xa, thanh phoâÊ adriêng ksoâÊ jeân minh jiêt minh ty, peâng hrieâng tôpôêh jiêt peâng trieâu minh hrieâng puoân jiêt pôñaêm ôbôêu, ku theâ in ñôêng roêng ôêu:"
Thành phố Quy Nhơn: 282.010.000 đồng,Thanh phoâÊ Quy NHôn: ‘Baêl hrieâng tôhngam jiêt ‘baêl trieâu khoâng hrieâng minh jiêt ôbôêu
Thị xã An Nhơn: 1.259.610.000 đồng,Thi xa An Nhôn: Minh ty ‘baêl hrieâng pôñaêm jiêt tôxiênh trieâu drôêu hrieâng minh jiêt ôbôêu
Huyện Tuy Phước: 1.218.900.000 đồng,Hueân Tuy Phöôêk: Minh ty ‘baêl hrieâng minh jiêt tôhngam trieâu tôxiênh hrieâng ôbôêu
Huyện Tây Sơn: 1.377.825.000 đồng,Hueân Taây Sôn: Minh ty peâng hrieâng tôpôêh jiêt tôpôêh trieâu tôhngam hrieâng ‘baêl jiêt pôñaêm ôbôêu
Huyện Phù Cát: 2.498.135.000 đồng,Hueân Phu Cat: ‘Baêl ty puoân hrieâng tôxiênh jiêt tôhngam trieâu minh hrieâng peâng jiêt pôñaêm ôbôêu
Huyện Phù Mỹ: 1.854.800.000 đồng,Hueân Phu My: Minh ty tôhngam hrieâng pôñaêm jiêt puoân trieâu tôhngam hrieâng ôbôêu
Huyện Hoài Ân: 865.270.000 đồng,Hueân Hoai AÂn: Tôhngam hrieâng drôêu jiêt pôñaêm trieâu ‘baêl hrieâng tôpôêh jiêt ôbôêu
Huyện Vân Canh: 146.020.000 đồng,Hueân Vaân Canh: Minh hrieâng puoân jiêt drôêu trieâu khoâng hrieâng ‘baêl jiêt ôbôêu
Huyện Vĩnh Thạnh: 399.735.000 đồng,Hueân Vinh Thanh: Peâng hrieâng tôxiênh jiêt tôxiênh trieâu tôpôêh hrieâng peâng jiêt pôñaêm ôbôêu
Huyện An Lão: 435.490.000 đồng,Hueân An Lao: Puoân hrieâng peâng jiêt pôñaêm trieâu puoân hrieâng tôxiênh jiêt ôbôêu
(Chi tiết theo Phụ lục đính kèm Quyết định này),(Chi tieâÊt ‘boi phuê luêk pôteêp adriêng KueâÊt ñinh anu)
"Nguồn kinh phí thực hiện: Từ nguồn chi sự nghiệp kinh tế được bố trí chi hỗ trợ để bảo vệ, phát triển đất trồng lúa tại Quyết định số 4545/QĐ-UBND ngày 12/12/2016 của UBND tỉnh.","Nguoân jeân pôm: Ñôêng nguoân jeân sö nghieâp kinh teâÊ ñeêi ‘boâ triê aên tôguêm söê jö vei, pôjing teh pôtaêm ‘ba lôêm KueâÊt ñinh ksoâÊ puoân pôñaêm puoân pôñaêm/QÑ-UBND ‘naêr minh jiêt ‘baêl kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu ñôêng UBND tinh"
"Điều 2. Giao Sở Tài chính chủ trì, phối hợp với các cơ quan, đơn vị có liên quan triển khai thực hiện theo đúng quy định hiện hành của Nhà nước.","Ñieâu ‘baêl. Pôjao Sô Tai chiênh pôgôl, adriêng rim kô kuan, ñôn viê ôêi lieân kuan pônhroh pôm ‘boi trô troê tôdrong ñôêng kôpal"
"Điều 3. Chánh Văn phòng UBND tỉnh, Giám đốc các Sở: Tài chính, Nông nghiệp và PTNT, Kế hoạch và Đầu tư, Tài nguyên và Môi trường, Giám đốc Kho bạc Nhà nước tỉnh, Chủ tịch UBND các huyện, thị xã, thành phố và Thủ trưởng các đơn vị có liên quan chịu trách nhiệm thi hành Quyết định này kể từ ngày ký","Ñieâu peâng. Chaênh Vaên phong UBND tinh, Giam ñoâk rim Sô: Tai chiênh, Noâng nghieâp oeêng pôjing cham pôlei, Keâ hoach oeêng Ñaâu tö, Tai ngueân oeêng Moâi tröông, Giam ñoâk Kho ‘bak kôpal tinh, Chu tich UBND rim hueân, thi xa, thanh phoâÊ oeêng pôgôl rim ñôn viê ôêi lieân kuan ôêi tôdrong pôm KueâÊt ñinh anu khan ñôêng ‘naêr kyê./."
"Nghị quyết Về Chính sách hỗ trợ kiên cố hóa kênh mương, kênh mương nội đồng giai đoạn 2016 - 2020 trên địa bàn tỉnh","Nghiê kueâÊt lôêm tôdrong tôguêm pôm kôjaêp pieâu trong möông, trong möông lôêm tômaên bal jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
Hội đồng Nhân dân tỉnh Bình Định,HÑND tinh ‘Binh Ñinh
"Khóa XI, kỳ họp thứ 12","Khoêa minh jiêt minh, maêng hoêp maêng maê minh jiêt ‘baêl"
Căn cứ Luật Tổ chức HĐND và UBND ngày 26 tháng 11 năm 2003;,Laên köê Luaât toâ chöêk HÑND oeêng UBND ‘naêr ‘baêl jiêt drôêu kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le peâng
"Căn cứ Luật Ban hành văn bản Quy phạm pháp luật của Hội đồng nhân dân, Ủy ban nhân dân ngày 03 tháng 12 năm 2004;","Kaên köê Luaât aên leêch vaên ‘ban Kuy pham phap luaât ñôêng HÑND, UBND ‘naêr peâng kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân"
Căn cứ Luật Ngân sách Nhà nước ngày 16 tháng 12 năm 2002;,Kaên köê Luaât ngaân sach kôpal ‘naêr minh jiêt drôêu kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng le ‘baêl
Căn cứ Nghị quyết 753/2005/NQ-UBTVQH11 ngày 02 tháng 4 năm 2005 của Ủy ban Thường vụ Quốc hội ban hành Quy chế hoạt động của Hội đồng nhân dân;,"Kaên köê Nghiê kueâÊt ksoâÊ tôpôêh pôñaêm peâng sônaêm ‘baêl ôbôêu khoâng hrieâng le pôñaêm/NQ-UBTVQH minh jiêt minh, ‘naêr ‘baêl kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le pôñaêm ñôêng Uy ‘ban Thöông vuê KuoâÊc hoâi aên leêch tôdrong pôm ñôêng HÑND"
Căn cứ Quyết định số 66/2000/QĐ-TTg ngày 13 tháng 6 năm 2000 của Thủ tướng Chính phủ về một số chính sách và cơ chế tài chính thực hiện chương trình kiên cố hóa kênh mương;,Kaên köê KueâÊt ñinh ksoâÊ drôêu jiêt drôêu sônaêm ‘baêl ôbôêu/QÑ-TTg ‘naêr minh jiêt peâng kheêi drôêu sônaêm ‘baêl ôbôêu ñôêng Thu töông kôpal teh ñak lôêm minh ksoâÊ tôdrong oeêng tôdrong tai chiênh pôm tôdrong pôm kôjaêp pieâu trong möông
"Sau khi xem xét Tờ trình số 163/TTr-UBND ngày 25 tháng 11 năm 2015 của Ủy ban nhân dân tỉnh về việc ban hành chính sách hỗ trợ Kiên cố hóa kênh mương, kênh mương nội đồng giai đoạn 2016 - 2020;","Ñôêng roêng ngoê hnheêi Tô trinh ksoâÊ minh drôêu peâng/TTr-UBND ‘naêr ‘baêl jiêt pôñaêm kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng UBND tinh lôêm tôdrong aên leêch tôdrong tôguêm pôm kôjaêp pieâu trong möông, trong möông lôêm tômaên bal jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
Báo cáo thẩm tra số 37/BCTT-KT&NS ngày 07 tháng 12 năm 2015 của Ban Kinh tế và Ngân sách Hội đồng nhân dân tỉnh và ý kiến thảo luận của các đại biểu Hội đồng nhân dân tỉnh tại kỳ họp,‘Baêo kaêo thaâm tra ksoâÊ peâng jiêt tôpôêh/BCTT-KH&NS ‘naêr tôpôêh kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng Khul kinh teâÊ oeêng Ngaân sach HÑND tinh oeêng tôdrong pôñam ‘bôl ñôêng rim naê ma HÑND tinh lôêm maêng hoêp
"Điều 1. Nhất trí thông qua chính sách hỗ trợ Kiên cố hóa kênh mương, kênh mương nội đồng giai đoạn 2016 - 2020 trên địa bàn tỉnh Bình Định (Có Quy định kèm theo).","Ñieâu minh. NhaâÊt triê thoâng kua tôdrong tôguêm pôm kôjaêp pieâu trong möông, trong möông lôêm tômaên bal jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh ‘Binh Ñinh (ôêi Kuy ñinh pôteêp adriêng)"
